VIN,modelCode,modelName,modelDescription,exteriorColor,bodyStyle,engineSerialNumber,effectiveDate,brand,vehicleYear,engineType,warrantyMileage,warrantyDuration,extendedWarranty,extendedWarrantyMileage,extendedWarrantyExpired,PMPcontract,PMPcontractExpired,Vehicle_Status
MDHFBADD0NB079859,DD0,MAGNITE,NISSAN MAGNITE MT XL,FLARE GARNET RED,STATION WAGON,E206627,2026-04-05,Nissan,2022,Petrol,50000,24,1,200000,2027-11-21,0,,1
MDHFBADD0NB080895,DD0,MAGNITE,NISSAN MAGNITE MT XE,SANDSTONE BROWN,STATION WAGON,E208846,2026-04-05,Nissan,2022,Petrol,50000,24,0,,,0,,1
MDHFBADD0NB080392,DD0,MAGNITE,NISSAN MAGNITE MT XE,STORM WHITE,STATION WAGON,E207318,2026-04-05,Nissan,2022,Petrol,50000,24,0,,,0,,1
MDHFBADD0NB080731,DD0,MAGNITE,NISSAN MAGNITE MT XE,STORM WHITE,STATION WAGON,E208377,2026-04-05,Nissan,2022,Petrol,50000,24,0,,,0,,1
MDHFBADD0NB081233,DD0,MAGNITE,NISSAN MAGNITE MT XE,STORM WHITE,STATION WAGON,E210091,2026-04-05,Nissan,2022,Petrol,50000,24,0,,,0,,1
MDHFBADD0N9074165,DD0,MAGNITE,NISSAN MAGNITE MT XV,STORM WHITE,STATION WAGON,E192366,2026-04-05,Nissan,2022,Petrol,50000,24,0,,,0,,1
MDHFBADD0NB081748,DD0,MAGNITE,NISSAN MAGNITE MT XE,STORM WHITE,STATION WAGON,E212354,2026-04-05,Nissan,2022,Petrol,50000,24,0,,,0,,1
MDHFBADD0NB080660,DD0,MAGNITE,NISSAN MAGNITE MT XV,ONYX BLACK,STATION WAGON,E208182,2026-04-05,Nissan,2022,Petrol,50000,24,1,200000,2027-01-30,0,,1
MDHFBADD0NB081749,DD0,MAGNITE,NISSAN MAGNITE MT XE,STORM WHITE,STATION WAGON,E211202,2026-04-05,Nissan,2022,Petrol,50000,24,0,,,0,,1
MDHFCUK13G4001874,K13,MICRA MC,MICRA MC XLD O,SILVER METALIC,Hatch Back,E033536,2026-04-05,Nissan,2016,Diesel,50000,24,1,80000,2021-01-23,0,,1
